Method,Shot Size,Seed,Learning Rate,Accuracy,F1 Score,Batch Size,Method_Type,Shot_Size
Few-Shot (k=200) - Full Finetune (FP16) - Seed 2025_fewshot_200,200.0,2025.0,5e-05,0.8486,0.8479,4.0,bert-Full Fine-tuning,200
Few-Shot (k=500) - Full Finetune (FP16) - Seed 42_fewshot_500,500.0,42.0,5e-05,0.8773,0.8772,4.0,bert-Full Fine-tuning,500
Few-Shot (k=500) - Full Finetune (FP16) - Seed 6657_fewshot_500,500.0,6657.0,5e-05,0.8486,0.8482,4.0,bert-Full Fine-tuning,500
Few-Shot (k=500) - Full Finetune (FP16) - Seed 2025_fewshot_500,500.0,2025.0,5e-05,0.8716,0.8715,4.0,bert-Full Fine-tuning,500
Few-Shot (k=1000) - Full Finetune (FP16) - Seed 42_fewshot_1000,1000.0,42.0,5e-05,0.8842,0.8842,16.0,bert-Full Fine-tuning,1000
Few-Shot (k=1000) - Full Finetune (FP16) - Seed 6657_fewshot_1000,1000.0,6657.0,5e-05,0.8521,0.8501,16.0,bert-Full Fine-tuning,1000
Few-Shot (k=1000) - Full Finetune (FP16) - Seed 2025_fewshot_1000,1000.0,2025.0,5e-05,0.8658,0.8658,16.0,bert-Full Fine-tuning,1000
Few-Shot (k=2000) - Full Finetune (FP16) - Seed 42_fewshot_2000,2000.0,42.0,5e-05,0.8658,0.8656,16.0,bert-Full Fine-tuning,2000
Few-Shot (k=2000) - Full Finetune (FP16) - Seed 6657_fewshot_2000,2000.0,6657.0,5e-05,0.8773,0.8773,16.0,bert-Full Fine-tuning,2000
Few-Shot (k=2000) - Full Finetune (FP16) - Seed 2025_fewshot_2000,2000.0,2025.0,5e-05,0.8956,0.8956,16.0,bert-Full Fine-tuning,2000
Few-Shot (k=5000) - Full Finetune (FP16) - Seed 42_fewshot_5000,5000.0,42.0,5e-05,0.906,0.9059,16.0,bert-Full Fine-tuning,5000
Few-Shot (k=5000) - Full Finetune (FP16) - Seed 6657_fewshot_5000,5000.0,6657.0,5e-05,0.9002,0.9002,16.0,bert-Full Fine-tuning,5000
Few-Shot (k=5000) - Full Finetune (FP16) - Seed 2025_fewshot_5000,5000.0,2025.0,5e-05,0.8991,0.8991,16.0,bert-Full Fine-tuning,5000
Few-Shot (k=10000) - Full Finetune (FP16) - Seed 42_fewshot_10000,10000.0,42.0,5e-05,0.9117,0.9117,16.0,bert-Full Fine-tuning,10000
Few-Shot (k=10000) - Full Finetune (FP16) - Seed 6657_fewshot_10000,10000.0,6657.0,5e-05,0.9186,0.9186,16.0,bert-Full Fine-tuning,10000
Few-Shot (k=10000) - Full Finetune (FP16) - Seed 2025_fewshot_10000,10000.0,2025.0,5e-05,0.9117,0.9117,16.0,bert-Full Fine-tuning,10000
Few-Shot (k=67349) - Full Finetune (FP16) - Seed 42_fewshot_67349,67349.0,42.0,5e-05,0.8979,0.8979,16.0,bert-Full Fine-tuning,67349
Few-Shot (k=67349) - Full Finetune (FP16) - Seed 6657_fewshot_67349,67349.0,6657.0,5e-05,0.8968,0.8965,16.0,bert-Full Fine-tuning,67349
Few-Shot (k=67349) - Full Finetune (FP16) - Seed 2025_fewshot_67349,67349.0,2025.0,5e-05,0.9106,0.9105,16.0,bert-Full Fine-tuning,67349
,,,,0.4908256880733945,,,gpt2-Full Fine-tuning,10
,,,,0.5091743119266054,,,gpt2-Full Fine-tuning,10
,,,,0.5114678899082569,,,gpt2-Full Fine-tuning,10
,,,,0.5275229357798165,,,gpt2-Full Fine-tuning,50
,,,,0.5114678899082569,,,gpt2-Full Fine-tuning,50
,,,,0.466743119266055,,,gpt2-Full Fine-tuning,50
,,,,0.5493119266055045,,,gpt2-Full Fine-tuning,100
,,,,0.5022935779816514,,,gpt2-Full Fine-tuning,100
,,,,0.5435779816513762,,,gpt2-Full Fine-tuning,100
,,,,0.6100917431192661,,,gpt2-Full Fine-tuning,200
,,,,0.5894495412844036,,,gpt2-Full Fine-tuning,200
,,,,0.6169724770642202,,,gpt2-Full Fine-tuning,200
,,,,0.7121559633027523,,,gpt2-Full Fine-tuning,500
,,,,0.7098623853211009,,,gpt2-Full Fine-tuning,500
,,,,0.7178899082568807,,,gpt2-Full Fine-tuning,500
,,,,0.8428899082568807,,,gpt2-Full Fine-tuning,1000
,,,,0.8474770642201835,,,gpt2-Full Fine-tuning,1000
,,,,0.856651376146789,,,gpt2-Full Fine-tuning,1000
,,,,0.8704128440366973,,,gpt2-Full Fine-tuning,2000
,,,,0.8704128440366973,,,gpt2-Full Fine-tuning,2000
,,,,0.8795871559633027,,,gpt2-Full Fine-tuning,2000
,,,,0.8910550458715596,,,gpt2-Full Fine-tuning,5000
,,,,0.9059633027522936,,,gpt2-Full Fine-tuning,5000
,,,,0.8910550458715596,,,gpt2-Full Fine-tuning,5000
,,,,0.9025229357798163,,,gpt2-Full Fine-tuning,10000
,,,,0.9162844036697247,,,gpt2-Full Fine-tuning,10000
,,,,0.9059633027522936,,,gpt2-Full Fine-tuning,10000
,,,,0.9185779816513762,,,gpt2-Full Fine-tuning,67349
,,,,0.9220183486238532,,,gpt2-Full Fine-tuning,67349
,,,,0.9220183486238532,,,gpt2-Full Fine-tuning,67349
